Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
146723,ChatGPT,143,13,156,Conversation log
146731,ChatGPT,182,18,200,Conversation log
146743,ChatGPT,178,11,189,Conversation log
146745,ChatGPT,22,411,433,Conversation log
146752,ChatGPT,185,22,207,Conversation log
146758,ChatGPT,391,172,563,Conversation log
146762,ChatGPT,183,8,191,Conversation log
146771,ChatGPT,961,395,1356,Conversation log
146793,GPT-4,107,412,519,Conversation log
146800,ChatGPT,167,22,189,Conversation log
146810,ChatGPT,1507,129,1636,Conversation log
146813,GPT-4,1016,343,1359,Conversation log
146834,ChatGPT,1779,152,1931,Conversation log
146844,GPT-4,49,182,231,Conversation log
146847,ChatGPT,161,26,187,Conversation log
146860,ChatGPT,27,8,35,Conversation log
146868,ChatGPT,64,6,70,Conversation log
146874,ChatGPT,339,326,665,Conversation log
146894,ChatGPT,459,343,802,Conversation log
146896,GPT-4,648,360,1008,Conversation log
146897,ChatGPT,86,15,101,Conversation log
146898,ChatGPT,13,110,123,Conversation log
146926,ChatGPT,17,3,20,Conversation log
146929,ChatGPT,118,21,139,Conversation log
146951,ChatGPT,154,11,165,Conversation log
146983,ChatGPT,73,3,76,Conversation log
147008,ChatGPT,96,3,99,Conversation log
147026,ChatGPT,115,9,124,Conversation log
147034,ChatGPT,823,510,1333,Conversation log
147048,GPT-4,1317,132,1449,Conversation log
147051,ChatGPT,832,162,994,Conversation log
147068,ChatGPT,145,21,166,Conversation log
147096,ChatGPT,940,247,1187,Conversation log
147105,ChatGPT,687,341,1028,Conversation log
147108,ChatGPT,381,335,716,Conversation log
147112,ChatGPT,187,223,410,Conversation log
147113,ChatGPT,735,158,893,Conversation log
147136,ChatGPT,1252,163,1415,Conversation log
147142,ChatGPT,354,124,478,Conversation log
147158,ChatGPT,476,140,616,Conversation log
147161,ChatGPT,1429,514,1943,Conversation log
147163,ChatGPT,1470,354,1824,Conversation log
147174,ChatGPT,612,157,769,Conversation log
147189,ChatGPT,801,31,832,Conversation log
147198,ChatGPT,73,10,83,Conversation log
147202,ChatGPT,1462,269,1731,Conversation log
147207,ChatGPT,73,16,89,Conversation log
147217,GPT-4,1380,256,1636,Conversation log
147231,ChatGPT,1065,197,1262,Conversation log
147232,ChatGPT,107,18,125,Conversation log
147281,ChatGPT,1644,507,2151,Conversation log
147301,ChatGPT,70,42,112,Conversation log
147336,GPT-4,2205,479,2684,Conversation log
147337,ChatGPT,1658,87,1745,Conversation log
147360,ChatGPT,72,29,101,Conversation log
147365,GPT-4,1474,551,2025,Conversation log
147368,GPT-4,1266,452,1718,Conversation log
147379,ChatGPT,1472,611,2083,Conversation log
147407,ChatGPT,1890,468,2358,Conversation log
147410,GPT-4,2362,457,2819,Conversation log
147447,GPT-4,94,19,113,Conversation log
147458,ChatGPT,171,62,233,Conversation log
147472,GPT-4,313,202,515,Conversation log
147502,ChatGPT,22,249,271,Conversation log
147508,GPT-4,46,536,582,Conversation log
147508,GPT-4,239,321,560,Conversation log
147510,ChatGPT,320,85,405,Conversation log
147513,ChatGPT,1168,182,1350,Conversation log
147514,GPT-4,2064,424,2488,Conversation log
147528,GPT-4,1495,541,2036,Conversation log
147542,ChatGPT,486,87,573,Conversation log
147566,GPT-4,699,302,1001,Conversation log
147570,ChatGPT,480,993,1473,Conversation log
147571,GPT-4,0,0,0,Conversation log
147581,ChatGPT,655,86,741,Conversation log
147586,GPT-4,606,398,1004,Conversation log
147590,ChatGPT,69,54,123,Conversation log
147591,ChatGPT,18,102,120,Conversation log
147591,ChatGPT,25,75,100,Conversation log
147609,ChatGPT,110,348,458,Conversation log
147615,ChatGPT,50,417,467,Conversation log
147628,ChatGPT,919,342,1261,Conversation log
147630,GPT-4,1066,313,1379,Conversation log
147634,GPT-4,1068,346,1414,Conversation log
147641,ChatGPT,801,498,1299,Conversation log
147644,ChatGPT,74,32,106,Conversation log
147671,ChatGPT,542,336,878,Conversation log
147673,ChatGPT,158,32,190,Conversation log
147693,ChatGPT,1476,297,1773,Conversation log
147694,ChatGPT,237,11,248,Conversation log
147712,ChatGPT,425,66,491,Conversation log
147719,ChatGPT,287,33,320,Conversation log
147723,ChatGPT,24,338,362,Conversation log
147729,GPT-4,1442,434,1876,Conversation log
147734,GPT-4,1403,228,1631,Conversation log
147736,ChatGPT,368,11,379,Conversation log
147749,ChatGPT,126,107,233,Conversation log
147753,ChatGPT,456,57,513,Conversation log
147759,ChatGPT,315,9,324,Conversation log
147773,ChatGPT,395,216,611,Conversation log
147790,ChatGPT,1103,670,1773,Conversation log
147791,ChatGPT,256,75,331,Conversation log
147809,ChatGPT,1685,569,2254,Conversation log
147819,GPT-4,71,37,108,Conversation log
147824,GPT-4,1931,472,2403,Conversation log
147825,ChatGPT,1065,207,1272,Conversation log
147839,ChatGPT,1200,375,1575,Conversation log
147842,ChatGPT,479,98,577,Conversation log
147848,GPT-4,2154,235,2389,Conversation log
147856,ChatGPT,0,0,0,Conversation log
147858,GPT-4,50,494,544,Conversation log
147865,ChatGPT,491,98,589,Conversation log
147877,ChatGPT,1987,425,2412,Conversation log
147882,ChatGPT,0,0,0,Conversation log
147891,ChatGPT,1291,306,1597,Conversation log
147908,ChatGPT,0,0,0,Conversation log
147918,GPT-4,1867,568,2435,Conversation log
147924,GPT-4,563,266,829,Conversation log
147944,ChatGPT,27,155,182,Conversation log
147951,GPT-4,28,326,354,Conversation log
147952,ChatGPT,339,368,707,Conversation log
147953,ChatGPT,1619,295,1914,Conversation log
147986,GPT-4,2317,568,2885,Conversation log
147991,GPT-4,372,493,865,Conversation log
148002,ChatGPT,156,442,598,Conversation log
148008,GPT-4,857,367,1224,Conversation log
148013,GPT-4,0,0,0,Conversation log
148031,GPT-4,884,504,1388,Conversation log
148034,ChatGPT,138,93,231,Conversation log
148052,GPT-4,2495,264,2759,Conversation log
148052,ChatGPT,900,127,1027,Conversation log
148087,GPT-4,57,428,485,Conversation log
148102,ChatGPT,1356,293,1649,Conversation log
148162,ChatGPT,1428,212,1640,Conversation log
148177,ChatGPT,1295,91,1386,Conversation log
148199,ChatGPT,215,198,413,Conversation log
148231,ChatGPT,1943,334,2277,Conversation log
148254,GPT-4,1027,357,1384,Conversation log
148259,ChatGPT,23,445,468,Conversation log
148280,ChatGPT,1954,344,2298,Conversation log
148306,ChatGPT,1932,111,2043,Conversation log
148333,ChatGPT,28,549,577,Conversation log
148355,ChatGPT,2008,590,2598,Conversation log
148362,ChatGPT,751,375,1126,Conversation log
148371,ChatGPT,15,238,253,Conversation log
148397,GPT-4,2334,355,2689,Conversation log
148408,ChatGPT,22,369,391,Conversation log
148432,ChatGPT,36,418,454,Conversation log
148500,ChatGPT,0,0,0,Conversation log
148510,ChatGPT,1244,191,1435,Conversation log
148512,GPT-4,1251,422,1673,Conversation log
148513,ChatGPT,1824,264,2088,Conversation log
148530,ChatGPT,16,540,556,Conversation log
148556,GPT-4,2388,421,2809,Conversation log
148556,ChatGPT,0,0,0,Conversation log
148568,ChatGPT,0,0,0,Conversation log
148576,ChatGPT,1741,295,2036,Conversation log
148579,ChatGPT,21,25,46,Conversation log
148646,ChatGPT,192,556,748,Conversation log
148646,GPT-4,282,577,859,Conversation log
148684,ChatGPT,1448,433,1881,Conversation log
148700,ChatGPT,78,121,199,Conversation log
148746,GPT-4,209,45,254,Conversation log
148748,ChatGPT,1616,238,1854,Conversation log
148778,GPT-4,0,0,0,Conversation log
148779,GPT-4,79,15,94,Conversation log
148782,ChatGPT,80,234,314,Conversation log
148810,ChatGPT,228,167,395,Conversation log
148811,GPT-4,164,11,175,Conversation log
148811,ChatGPT,56,334,390,Conversation log
148826,GPT-4,2469,355,2824,Conversation log
148839,GPT-4,262,17,279,Conversation log
148852,ChatGPT,566,564,1130,Conversation log
148854,ChatGPT,409,141,550,Conversation log
148857,ChatGPT,2031,1111,3142,Conversation log
148859,GPT-4,360,19,379,Conversation log
148879,ChatGPT,349,14,363,Conversation log
148890,ChatGPT,0,0,0,Conversation log
148891,GPT-4,461,14,475,Conversation log
148900,ChatGPT,410,152,562,Conversation log
148905,GPT-4,924,277,1201,Conversation log
148909,ChatGPT,1172,348,1520,Conversation log
148915,ChatGPT,1738,346,2084,Conversation log
148936,ChatGPT,23,70,93,Conversation log
148951,ChatGPT,108,77,185,Conversation log
148969,GPT-4,201,60,261,Conversation log
148974,GPT-4,1974,214,2188,Conversation log
148975,GPT-4,53,355,408,Conversation log
149056,ChatGPT,763,407,1170,Conversation log
149067,ChatGPT,1560,181,1741,Conversation log
149072,GPT-4,1223,339,1562,Conversation log
149090,GPT-4,283,187,470,Conversation log
149094,ChatGPT,1737,36,1773,Conversation log
149114,ChatGPT,631,248,879,Conversation log
149120,ChatGPT,40,68,108,Conversation log
149139,ChatGPT,892,101,993,Conversation log
149150,GPT-4,1929,406,2335,Conversation log
149170,ChatGPT,1157,102,1259,Conversation log
149216,ChatGPT,652,311,963,Conversation log
149218,ChatGPT,885,351,1236,Conversation log
149226,ChatGPT,10,18,28,Conversation log
149251,GPT-4,1583,615,2198,Conversation log
149254,GPT-4,1970,506,2476,Conversation log
149288,ChatGPT,413,40,453,Conversation log
149299,ChatGPT,390,1231,1621,Conversation log
149317,ChatGPT,93,479,572,Conversation log
149322,GPT-4,1846,442,2288,Conversation log
149349,ChatGPT,25,405,430,Conversation log
149365,GPT-4,1359,772,2131,Conversation log
149398,ChatGPT,841,580,1421,Conversation log
149447,ChatGPT,1799,319,2118,Conversation log
149450,GPT-4,1740,131,1871,Conversation log
149456,GPT-4,1697,324,2021,Conversation log
149463,ChatGPT,1047,282,1329,Conversation log
149467,ChatGPT,462,489,951,Conversation log
149481,ChatGPT,1566,536,2102,Conversation log
149482,GPT-4,28,369,397,Conversation log
149490,GPT-4,2116,376,2492,Conversation log
149518,GPT-4,73,21,94,Conversation log
149530,GPT-4,167,113,280,Conversation log
149568,GPT-4,486,127,613,Conversation log
149587,GPT-4,1662,127,1789,Conversation log
149589,ChatGPT,1730,207,1937,Conversation log
149634,GPT-4,89,364,453,Conversation log
149652,ChatGPT,1661,117,1778,Conversation log
149659,ChatGPT,43,349,392,Conversation log
149659,GPT-4,1378,404,1782,Conversation log
149670,ChatGPT,44,105,149,Conversation log
149680,GPT-4,1464,109,1573,Conversation log
149683,ChatGPT,416,402,818,Conversation log
149691,GPT-4,1513,461,1974,Conversation log
149699,ChatGPT,1964,213,2177,Conversation log
149721,GPT-4,552,493,1045,Conversation log
149725,GPT-4,534,146,680,Conversation log
149732,GPT-4,18,86,104,Conversation log
149763,ChatGPT,1464,123,1587,Conversation log
149796,GPT-4,1266,257,1523,Conversation log
149803,ChatGPT,34,460,494,Conversation log
149856,GPT-4,126,78,204,Conversation log
149856,ChatGPT,1019,314,1333,Conversation log
149866,GPT-4,2328,394,2722,Conversation log
149873,GPT-4,1724,418,2142,Conversation log
149875,GPT-4,1169,645,1814,Conversation log
149876,ChatGPT,9,18,27,Conversation log
149879,ChatGPT,975,472,1447,Conversation log
149916,ChatGPT,1500,315,1815,Conversation log
149919,GPT-4,1191,499,1690,Conversation log
149930,ChatGPT,1231,188,1419,Conversation log
149935,ChatGPT,86,26,112,Conversation log
149943,ChatGPT,1455,109,1564,Conversation log
149957,GPT-4,633,89,722,Conversation log
149964,GPT-4,29,230,259,Conversation log
149995,GPT-4,484,468,952,Conversation log
150009,GPT-4,1468,176,1644,Conversation log
150018,GPT-4,2400,350,2750,Conversation log
150051,ChatGPT,1667,94,1761,Conversation log
150075,GPT-4,1645,481,2126,Conversation log
150091,ChatGPT,154,33,187,Conversation log
150112,GPT-4,225,102,327,Conversation log
150121,ChatGPT,1320,257,1577,Conversation log
150129,ChatGPT,0,0,0,Conversation log
150144,ChatGPT,810,280,1090,Conversation log
150166,ChatGPT,328,80,408,Conversation log
150215,GPT-4,333,428,761,Conversation log
150233,ChatGPT,1154,43,1197,Conversation log
150234,GPT-4,1998,544,2542,Conversation log
150235,ChatGPT,1428,329,1757,Conversation log
150243,GPT-4,455,305,760,Conversation log
150288,ChatGPT,1210,46,1256,Conversation log
150337,GPT-4,864,468,1332,Conversation log
150471,GPT-4,2134,499,2633,Conversation log
150490,GPT-4,181,412,593,Conversation log
150531,GPT-4,20,265,285,Conversation log
150556,ChatGPT,1371,95,1466,Conversation log
150568,ChatGPT,15,398,413,Conversation log
150575,GPT-4,0,0,0,Conversation log
150610,ChatGPT,63,98,161,Conversation log
150614,ChatGPT,1466,519,1985,Conversation log
150624,GPT-4,642,272,914,Conversation log
150676,GPT-4,1356,344,1700,Conversation log
150685,GPT-4,1493,621,2114,Conversation log
150746,ChatGPT,434,458,892,Conversation log
150779,ChatGPT,541,34,575,Conversation log
150788,GPT-4,930,171,1101,Conversation log
150792,GPT-4,1599,466,2065,Conversation log
150858,GPT-4,32,133,165,Conversation log
150889,ChatGPT,1617,318,1935,Conversation log
150891,GPT-4,181,153,334,Conversation log
150904,GPT-4,1315,369,1684,Conversation log
150936,ChatGPT,52,316,368,Conversation log
150944,ChatGPT,1098,139,1237,Conversation log
150948,ChatGPT,938,214,1152,Conversation log
150953,ChatGPT,379,221,600,Conversation log
150954,ChatGPT,19,399,418,Conversation log
150959,ChatGPT,357,219,576,Conversation log
150984,GPT-4,354,197,551,Conversation log
150998,ChatGPT,632,261,893,Conversation log
150998,ChatGPT,1255,140,1395,Conversation log
151094,GPT-4,0,0,0,Conversation log
151103,ChatGPT,1273,259,1532,Conversation log
151108,ChatGPT,443,334,777,Conversation log
151197,ChatGPT,567,399,966,Conversation log
151216,ChatGPT,1326,352,1678,Conversation log
151243,ChatGPT,0,0,0,Conversation log
151244,GPT-4,56,346,402,Conversation log
151246,GPT-4,192,370,562,Conversation log
151269,ChatGPT,1410,453,1863,Conversation log
151310,ChatGPT,29,501,530,Conversation log
151317,ChatGPT,0,0,0,Conversation log
151328,GPT-4,125,108,233,Conversation log
151330,ChatGPT,0,0,0,Conversation log
151338,ChatGPT,22,105,127,Conversation log
151400,ChatGPT,1505,379,1884,Conversation log
151403,GPT-4,385,158,543,Conversation log
151455,ChatGPT,870,350,1220,Conversation log
151455,GPT-4,18,424,442,Conversation log
151543,ChatGPT,0,0,0,Conversation log
151586,GPT-4,114,447,561,Conversation log
151607,ChatGPT,1278,234,1512,Conversation log
151622,ChatGPT,1874,604,2478,Conversation log
151662,ChatGPT,1555,257,1812,Conversation log
151719,ChatGPT,1426,274,1700,Conversation log
151728,GPT-4,50,314,364,Conversation log
151733,GPT-4,1752,352,2104,Conversation log
151754,ChatGPT,0,0,0,Conversation log
151756,ChatGPT,1543,39,1582,Conversation log
151760,ChatGPT,50,299,349,Conversation log
151760,ChatGPT,91,71,162,Conversation log
151761,GPT-4,15,450,465,Conversation log
151778,ChatGPT,1645,326,1971,Conversation log
151787,ChatGPT,255,101,356,Conversation log
151790,ChatGPT,790,250,1040,Conversation log
151820,ChatGPT,473,156,629,Conversation log
151868,ChatGPT,1610,361,1971,Conversation log
151891,ChatGPT,232,718,950,Conversation log
151893,ChatGPT,833,319,1152,Conversation log
151980,GPT-4,27,47,74,Conversation log
152010,ChatGPT,607,148,755,Conversation log
152011,ChatGPT,844,281,1125,Conversation log
152013,ChatGPT,0,0,0,Conversation log
152021,ChatGPT,30,665,695,Conversation log
152021,ChatGPT,28,45,73,Conversation log
152132,ChatGPT,1316,262,1578,Conversation log
152144,ChatGPT,17,85,102,Conversation log
152183,ChatGPT,1983,228,2211,Conversation log
152245,ChatGPT,131,81,212,Conversation log
152256,GPT-4,28,36,64,Conversation log
152320,ChatGPT,228,289,517,Conversation log
152370,GPT-4,81,115,196,Conversation log
152400,ChatGPT,1899,530,2429,Conversation log
152437,GPT-4,303,139,442,Conversation log
152552,ChatGPT,28,225,253,Conversation log
152576,GPT-4,471,50,521,Conversation log
152584,GPT-4,83,67,150,Conversation log
152619,ChatGPT,761,533,1294,Conversation log
152643,GPT-4,56,349,405,Conversation log
152772,ChatGPT,114,114,228,Conversation log
152779,GPT-4,31,29,60,Conversation log
152832,GPT-4,638,147,785,Conversation log
152926,ChatGPT,1975,242,2217,Conversation log
152937,GPT-4,31,253,284,Conversation log
152977,GPT-4,213,350,563,Conversation log
152985,GPT-4,759,237,996,Conversation log
153031,ChatGPT,28,392,420,Conversation log
153112,ChatGPT,640,527,1167,Conversation log
153122,GPT-4,76,302,378,Conversation log
153184,ChatGPT,319,229,548,Conversation log
153186,GPT-4,1239,246,1485,Conversation log
153226,GPT-4,313,76,389,Conversation log
153238,GPT-4,58,6,64,Conversation log
153284,ChatGPT,42,138,180,Conversation log
153322,ChatGPT,1994,375,2369,Conversation log
153331,ChatGPT,60,42,102,Conversation log
153333,GPT-4,1697,429,2126,Conversation log
153334,GPT-4,406,79,485,Conversation log
153347,ChatGPT,28,63,91,Conversation log
153348,GPT-4,1330,176,1506,Conversation log
153353,ChatGPT,0,0,0,Conversation log
153353,ChatGPT,287,254,541,Conversation log
153370,ChatGPT,13,329,342,Conversation log
153372,ChatGPT,111,49,160,Conversation log
153380,ChatGPT,169,28,197,Conversation log
153400,ChatGPT,226,11,237,Conversation log
153405,ChatGPT,1187,509,1696,Conversation log
153406,ChatGPT,186,355,541,Conversation log
153422,ChatGPT,1086,491,1577,Conversation log
153441,ChatGPT,360,472,832,Conversation log
153452,ChatGPT,56,126,182,Conversation log
153465,ChatGPT,198,159,357,Conversation log
153470,GPT-4,84,135,219,Conversation log
153483,ChatGPT,384,125,509,Conversation log
153484,ChatGPT,283,30,313,Conversation log
153512,ChatGPT,1719,563,2282,Conversation log
153515,ChatGPT,527,153,680,Conversation log
153529,ChatGPT,60,18,78,Conversation log
153529,ChatGPT,1590,417,2007,Conversation log
153549,ChatGPT,1666,10,1676,Conversation log
153565,ChatGPT,1699,11,1710,Conversation log
153571,ChatGPT,150,40,190,Conversation log
153595,ChatGPT,849,332,1181,Conversation log
153603,ChatGPT,44,399,443,Conversation log
153633,GPT-4,526,127,653,Conversation log
153658,GPT-4,526,14,540,Conversation log
153700,GPT-4,681,80,761,Conversation log
153751,ChatGPT,131,223,354,Conversation log
153777,ChatGPT,1696,479,2175,Conversation log
153852,ChatGPT,2027,446,2473,Conversation log
153853,GPT-4,26,298,324,Conversation log
153859,ChatGPT,0,0,0,Conversation log
153869,ChatGPT,0,0,0,Conversation log
153912,GPT-4,559,111,670,Conversation log
153918,ChatGPT,1389,305,1694,Conversation log
153930,GPT-4,1272,105,1377,Conversation log
153933,ChatGPT,33,372,405,Conversation log
153948,ChatGPT,28,50,78,Conversation log
153958,ChatGPT,1891,537,2428,Conversation log
153960,ChatGPT,153,206,359,Conversation log
154064,ChatGPT,471,166,637,Conversation log
154079,GPT-4,1649,336,1985,Conversation log
154131,GPT-4,1254,91,1345,Conversation log
154149,ChatGPT,53,80,133,Conversation log
154202,GPT-4,1084,49,1133,Conversation log
154239,ChatGPT,1862,355,2217,Conversation log
154272,ChatGPT,16,144,160,Conversation log
154297,ChatGPT,171,243,414,Conversation log
154320,ChatGPT,52,71,123,Conversation log
154339,ChatGPT,144,565,709,Conversation log
154368,ChatGPT,90,172,262,Conversation log
154407,ChatGPT,1089,230,1319,Conversation log
154408,ChatGPT,1888,351,2239,Conversation log
154423,ChatGPT,23,422,445,Conversation log
154466,ChatGPT,472,440,912,Conversation log
154495,GPT-4,20,271,291,Conversation log
154512,ChatGPT,466,408,874,Conversation log
154571,GPT-4,317,145,462,Conversation log
154632,ChatGPT,721,195,916,Conversation log
154639,GPT-4,495,149,644,Conversation log
154692,ChatGPT,365,571,936,Conversation log
154708,ChatGPT,142,109,251,Conversation log
154720,ChatGPT,45,395,440,Conversation log
154721,ChatGPT,269,319,588,Conversation log
154731,ChatGPT,1205,522,1727,Conversation log
154731,ChatGPT,873,9,882,Conversation log
154732,ChatGPT,35,276,311,Conversation log
154741,ChatGPT,953,543,1496,Conversation log
154742,ChatGPT,738,285,1023,Conversation log
154751,ChatGPT,797,336,1133,Conversation log
154771,ChatGPT,636,188,824,Conversation log
154773,ChatGPT,849,527,1376,Conversation log
154780,ChatGPT,329,204,533,Conversation log
154816,ChatGPT,1914,637,2551,Conversation log
154817,ChatGPT,470,671,1141,Conversation log
154859,ChatGPT,1759,591,2350,Conversation log
154910,GPT-4,73,76,149,Conversation log
154931,ChatGPT,0,0,0,Conversation log
154947,ChatGPT,0,0,0,Conversation log
154982,ChatGPT,404,185,589,Conversation log
154983,ChatGPT,2030,568,2598,Conversation log
155002,GPT-4,200,46,246,Conversation log
155040,ChatGPT,0,0,0,Conversation log
155064,ChatGPT,605,279,884,Conversation log
155082,ChatGPT,18,349,367,Conversation log
155135,ChatGPT,1013,283,1296,Conversation log
155175,ChatGPT,1260,274,1534,Conversation log
155198,ChatGPT,0,0,0,Conversation log
155226,ChatGPT,1210,309,1519,Conversation log
155230,ChatGPT,146,418,564,Conversation log
155275,ChatGPT,949,135,1084,Conversation log
155301,ChatGPT,1279,222,1501,Conversation log
155335,GPT-4,296,36,332,Conversation log
155372,ChatGPT,76,21,97,Conversation log
155379,ChatGPT,1211,213,1424,Conversation log
155389,GPT-4,174,18,192,Conversation log
155399,GPT-4,76,17,93,Conversation log
155417,GPT-4,110,387,497,Conversation log
155435,ChatGPT,597,538,1135,Conversation log
155468,ChatGPT,1126,259,1385,Conversation log
155473,ChatGPT,1105,245,1350,Conversation log
155488,ChatGPT,24,461,485,Conversation log
155505,GPT-4,15,80,95,Conversation log
155507,GPT-4,23,330,353,Conversation log
155613,GPT-4,154,259,413,Conversation log
155623,GPT-4,68,266,334,Conversation log
155644,ChatGPT,178,105,283,Conversation log
155666,ChatGPT,795,344,1139,Conversation log
155697,GPT-4,485,175,660,Conversation log
155708,ChatGPT,42,379,421,Conversation log
155709,ChatGPT,33,319,352,Conversation log
155720,ChatGPT,1208,563,1771,Conversation log
155728,GPT-4,1009,133,1142,Conversation log
155769,GPT-4,361,250,611,Conversation log
155804,GPT-4,595,451,1046,Conversation log
155827,ChatGPT,359,188,547,Conversation log
155840,ChatGPT,20,183,203,Conversation log
155907,GPT-4,376,273,649,Conversation log
155974,ChatGPT,1399,309,1708,Conversation log
156079,ChatGPT,20,12,32,Conversation log
156133,ChatGPT,66,46,112,Conversation log
156136,ChatGPT,583,55,638,Conversation log
156179,ChatGPT,151,59,210,Conversation log
156186,GPT-4,206,202,408,Conversation log
156199,ChatGPT,63,407,470,Conversation log
156237,ChatGPT,434,452,886,Conversation log
156259,ChatGPT,287,12,299,Conversation log
156277,ChatGPT,26,354,380,Conversation log
156300,GPT-4,8,9,17,Conversation log
156335,ChatGPT,348,53,401,Conversation log
156362,GPT-4,70,298,368,Conversation log
156390,ChatGPT,422,10,432,Conversation log
156415,GPT-4,396,109,505,Conversation log
156435,ChatGPT,1677,1899,3576,Conversation log
156442,GPT-4,514,30,544,Conversation log
156450,ChatGPT,422,61,483,Conversation log
156454,ChatGPT,687,324,1011,Conversation log
156469,ChatGPT,574,187,761,Conversation log
156470,GPT-4,1098,312,1410,Conversation log
156512,ChatGPT,447,13,460,Conversation log
156515,GPT-4,633,25,658,Conversation log
156525,ChatGPT,439,32,471,Conversation log
156531,GPT-4,841,392,1233,Conversation log
156584,GPT-4,1017,321,1338,Conversation log
156617,ChatGPT,95,73,168,Conversation log
156631,GPT-4,242,287,529,Conversation log
156639,ChatGPT,425,19,444,Conversation log
156654,ChatGPT,934,535,1469,Conversation log
156661,ChatGPT,1281,308,1589,Conversation log
156665,ChatGPT,1040,342,1382,Conversation log
156682,GPT-4,20,187,207,Conversation log
156714,ChatGPT,1024,289,1313,Conversation log
156719,ChatGPT,175,28,203,Conversation log
156726,ChatGPT,1552,180,1732,Conversation log
156730,ChatGPT,9,405,414,Conversation log
156754,ChatGPT,1188,10,1198,Conversation log
156754,ChatGPT,1128,272,1400,Conversation log
156755,ChatGPT,455,33,488,Conversation log
156762,ChatGPT,254,31,285,Conversation log
156817,ChatGPT,1494,509,2003,Conversation log
156842,ChatGPT,942,34,976,Conversation log
156871,GPT-4,1240,42,1282,Conversation log
156872,ChatGPT,305,223,528,Conversation log
156888,ChatGPT,554,11,565,Conversation log
156899,ChatGPT,480,12,492,Conversation log
156926,ChatGPT,99,438,537,Conversation log
156971,GPT-4,1139,20,1159,Conversation log
156994,ChatGPT,472,6,478,Conversation log
157002,ChatGPT,522,363,885,Conversation log
157011,ChatGPT,1027,112,1139,Conversation log
157020,ChatGPT,1034,111,1145,Conversation log
157033,ChatGPT,815,99,914,Conversation log
157044,ChatGPT,448,8,456,Conversation log
157048,ChatGPT,757,91,848,Conversation log
157053,ChatGPT,440,122,562,Conversation log
157055,ChatGPT,1248,66,1314,Conversation log
157057,ChatGPT,598,91,689,Conversation log
157061,ChatGPT,896,302,1198,Conversation log
157103,ChatGPT,1037,267,1304,Conversation log
157110,GPT-4,1283,232,1515,Conversation log
157122,ChatGPT,1299,352,1651,Conversation log
157133,ChatGPT,583,81,664,Conversation log
157142,ChatGPT,1288,220,1508,Conversation log
157169,ChatGPT,444,8,452,Conversation log
157200,ChatGPT,689,210,899,Conversation log
157205,ChatGPT,1476,566,2042,Conversation log
157232,ChatGPT,113,470,583,Conversation log
157285,ChatGPT,1290,375,1665,Conversation log
157287,GPT-4,920,132,1052,Conversation log
157296,ChatGPT,1675,247,1922,Conversation log
157331,ChatGPT,561,86,647,Conversation log
157337,ChatGPT,17,622,639,Conversation log
157339,GPT-4,656,203,859,Conversation log
157341,ChatGPT,536,78,614,Conversation log
157373,ChatGPT,0,0,0,Conversation log
157386,ChatGPT,31,318,349,Conversation log
157418,ChatGPT,677,47,724,Conversation log
157437,ChatGPT,382,30,412,Conversation log
157442,ChatGPT,738,476,1214,Conversation log
157442,ChatGPT,620,326,946,Conversation log
157475,ChatGPT,594,76,670,Conversation log
157489,GPT-4,156,101,257,Conversation log
157525,GPT-4,1285,50,1335,Conversation log
157534,ChatGPT,28,388,416,Conversation log
157599,GPT-4,749,53,802,Conversation log
157605,ChatGPT,96,105,201,Conversation log
157647,GPT-4,24,339,363,Conversation log
157648,ChatGPT,1785,333,2118,Conversation log
157650,ChatGPT,638,256,894,Conversation log
157663,ChatGPT,450,492,942,Conversation log
157672,GPT-4,1079,304,1383,Conversation log
157678,ChatGPT,1631,443,2074,Conversation log
157713,ChatGPT,960,353,1313,Conversation log
157737,GPT-4,385,301,686,Conversation log
157787,ChatGPT,800,141,941,Conversation log
157793,GPT-4,32,303,335,Conversation log
157817,ChatGPT,923,339,1262,Conversation log
157834,ChatGPT,1411,445,1856,Conversation log
157848,ChatGPT,1143,342,1485,Conversation log
157859,ChatGPT,138,202,340,Conversation log
157889,ChatGPT,153,584,737,Conversation log
157904,GPT-4,705,407,1112,Conversation log
157909,GPT-4,506,260,766,Conversation log
157909,ChatGPT,926,256,1182,Conversation log
157931,ChatGPT,1444,490,1934,Conversation log
157933,ChatGPT,1607,492,2099,Conversation log
157965,GPT-4,781,566,1347,Conversation log
157975,GPT-4,147,91,238,Conversation log
157979,ChatGPT,10,113,123,Conversation log
157989,ChatGPT,1536,562,2098,Conversation log
157991,ChatGPT,133,153,286,Conversation log
158018,ChatGPT,299,281,580,Conversation log
158024,ChatGPT,567,501,1068,Conversation log
158062,ChatGPT,1449,425,1874,Conversation log
158135,ChatGPT,1103,561,1664,Conversation log
158179,GPT-4,26,251,277,Conversation log
158202,GPT-4,408,310,718,Conversation log
158215,ChatGPT,14,269,283,Conversation log
158227,ChatGPT,1043,269,1312,Conversation log
158242,GPT-4,14,222,236,Conversation log
158259,ChatGPT,47,198,245,Conversation log
158315,GPT-4,0,0,0,Conversation log
158357,GPT-4,31,26,57,Conversation log
158357,GPT-4,0,0,0,Conversation log
158374,GPT-4,67,18,85,Conversation log
158436,GPT-4,237,109,346,Conversation log
