original_artifact,clean_path,sha256
analytical_validation_v18/manuscript/fig_system_architecture_workflow.pdf,manuscript/figures/system_architecture_workflow.pdf,8406c4acf1ef43913c163a3f6375e99676128f29a2b14c0a6b9cedb57c7f413b
analytical_validation_v18/manuscript/fig_optimizer_comparison_v17.pdf,manuscript/figures/optimizer_comparison.pdf,717f319756d044895d0d6ac1eec207edb23a3259db5d4c390b004ae38dad0e76
analytical_validation_v18/manuscript/fig_seven_day_robustness_v17.png,manuscript/figures/seven_day_robustness.png,7412cc86d4e87271e1661b6824dd310eb2e1d39b995c5d69d9ed7c2cd2c23776
analytical_validation_v18/manuscript/fig_service_law_fit_v17.png,manuscript/figures/service_law_fit.png,ed8c715abbc19518f75b5d3654d8810736782e1b44c96af24d24cbeddad4e780
analytical_validation_v18/manuscript/fig_cross_hardware_transport_v18.pdf,manuscript/figures/cross_hardware_transport.pdf,eb7968d29e05931bc1032e4f410033fa6f384dd15a1ab6f36d6bcaee62bc3da8
analytical_validation_v18/manuscript/fig_s1_policy_scaling.pdf,manuscript/figures/policy_scaling.pdf,08438752e0afebd761b2f1d01a426fa41d8269f0de049c018307c05e34ff01e0
analytical_validation_v18/manuscript/fig_s2_practical_baselines.pdf,manuscript/figures/practical_baselines.pdf,de912e0e11cd9227fbdb54dc734bce4d050f5f41235f7c358dd6591d2caaa78c
analytical_validation_v18/manuscript/fig_s3_hysteresis_gain.pdf,manuscript/figures/hysteresis_gain.pdf,54e30f2e9767523698150a577313d8a8e92aa34119570aeab5017f2aa6a557c7
analytical_validation_v18/manuscript/fig_s4_minimax_regret.pdf,manuscript/figures/minimax_regret.pdf,8294346a1563b7fb8cc8d4922c76078015fed012fe6b3cdcfbb8ddd9635b1a9d
analytical_validation_v18/manuscript/fig_surface_rank_vs_error_v18.pdf,manuscript/figures/surface_rank_vs_error.pdf,a09fe16ea2a3ce5a2f1ed81695a2155e9a96884d954cbab31c8af025297ff400
analytical_validation_v18/manuscript/fig_jump_indicator_v18.pdf,manuscript/figures/jump_indicator.pdf,b8411223070e46398194d765ebf6e230a6e4f66c7d45a59c65e4b18877f8ff9a
analytical_validation_v18/manuscript/fig_model_form_stress_v18.pdf,manuscript/figures/model_form_stress.pdf,95a557da7deaaf1b755c66e336fdd8772ff6cf89c9d4cd00eb1112903fe3e4a8
