scenario_id,rho,qH,tau,policies,certified_policies,min_mean_B_H,min_mean_B_L,policy_idx,alpha_on,alpha_off,mean_B_H,mean_B_L,upper_H,upper_L,max_mean_ratio,max_upper
R15H01,0.7,0.2,0.5,190,0,0.05365324921539643,0.04152672240003134,2,4.0,4.0,0.05365324921539643,0.042946876208098624,0.8550511836699326,0.4079327950118155,2.6826624607698215,0.8550511836699326
R15H02,0.7,0.2,2.0,190,0,0.1365607370125361,0.13029016996673762,0,2.0,2.0,0.1365607370125361,0.13029016996673762,0.9983811729701603,0.9273065333032355,6.8280368506268045,0.9983811729701603
R15H03,0.7,0.5,0.5,190,0,0.08582270251849944,0.030132174464675133,0,2.0,2.0,0.08582270251849944,0.030132174464675133,0.9429425651637531,0.3092774317482905,4.2911351259249715,0.9429425651637531
R15H04,0.7,0.5,2.0,190,0,0.1535654245027375,0.11188483028300063,0,2.0,2.0,0.1535654245027375,0.11308264772385385,0.9983811729701603,0.8665332141534924,7.678271225136875,0.9983811729701603
R15H05,0.7,0.8,0.5,190,0,0.19938670492503002,0.022219383666226927,0,2.0,2.0,0.19938670492503002,0.022219383666226927,1.0,0.20601068913654932,9.9693352462515,1.0
R15H06,0.7,0.8,2.0,190,0,0.23158101706558018,0.09162971119984235,4,6.0,4.0,0.23158101706558018,0.09190466147479909,1.0,0.7104368345613593,11.579050853279009,1.0
R15H07,0.9,0.2,0.5,190,0,0.07712274521552684,0.06154487846423488,2,4.0,4.0,0.07712274521552684,0.06154487846423488,0.9273065333032355,0.6280257890489989,3.856137260776342,0.9273065333032355
R15H08,0.9,0.2,2.0,190,0,0.1996304336866227,0.18845680512127794,10,10.0,2.0,0.1996304336866227,0.1891813885772759,1.0,0.9958563747187794,9.981521684331135,1.0
R15H09,0.9,0.5,0.5,190,0,0.13627220028639284,0.038113283897711604,0,2.0,2.0,0.13627220028639284,0.03957410101373962,0.9958563747187794,0.35907485004874623,6.813610014319642,0.9958563747187794
R15H10,0.9,0.5,2.0,190,0,0.20959409766986614,0.13011973494478374,28,16.0,2.0,0.20959409766986614,0.1304070331555529,1.0,0.8665332141534924,10.479704883493307,1.0
R15H11,0.9,0.8,0.5,190,0,0.3003565375072116,0.02110992528898831,0,2.0,2.0,0.3003565375072116,0.02110992528898831,1.0,0.22864918353310765,15.017826875360578,1.0
R15H12,0.9,0.8,2.0,190,0,0.3209452422806967,0.10689077458507519,10,10.0,2.0,0.3209452422806967,0.10689077458507519,1.0,0.7166703878109575,16.047262114034837,1.0
